asset,type,sign,tier,variant,n,IS_pct,OOS_pct,LB,UB,R2_chosen,O_val,Cov,zone
Gold,3,DN/DN/UP,tier2,B,7,97.8,57.1,25.0,84.2,0.2799,0.725,0.35,coin-toss
Gold,3,DN/DN/UP,tier2,A,7,97.8,57.1,25.0,84.2,0.2799,0.725,0.35,coin-toss
Gold,3,DN/DN/UP,tier4,B,11,47.4,54.5,28.0,78.7,0.3495,0.566,0.55,coin-toss
Gold,3,DN/DN/UP,tier4,A,11,73.8,54.5,28.0,78.7,0.3495,-0.202,0.55,coin-toss
Gold,6,DN/flat/UP,tier2,B,5,89.0,60.0,23.1,88.2,0.2773,1.624,0.25,coin-toss
Gold,6,DN/flat/UP,tier2,A,5,89.0,60.0,23.1,88.2,0.2773,1.624,0.25,coin-toss
Gold,6,DN/flat/UP,tier4,B,1,22.2,100.0,20.7,100.0,0.5928,2.955,0.05,coin-toss
Gold,6,DN/flat/UP,tier4,A,1,77.8,0.0,0.0,79.3,0.5928,-0.522,0.05,coin-toss
Gold,10,flat/DN/DN,tier2,B,4,86.1,25.0,4.6,69.9,0.2633,0.052,0.308,coin-toss
Gold,10,flat/DN/DN,tier2,A,4,86.1,25.0,4.6,69.9,0.2633,0.052,0.308,coin-toss
Gold,10,flat/DN/DN,tier4,B,6,85.0,66.7,30.0,90.3,0.2989,-0.215,0.462,coin-toss
Gold,10,flat/DN/DN,tier4,A,6,85.0,66.7,30.0,90.3,0.2989,-0.215,0.462,coin-toss
Gold,13,flat/flat/DN,tier2,B,2,83.9,50.0,9.5,90.5,0.2478,-0.968,0.091,coin-toss
Gold,13,flat/flat/DN,tier2,A,2,83.9,50.0,9.5,90.5,0.2478,-0.968,0.091,coin-toss
Gold,13,flat/flat/DN,tier3,B,2,100.0,0.0,0.0,65.8,0.2082,-0.311,0.091,coin-toss
Gold,13,flat/flat/DN,tier3,A,2,100.0,0.0,0.0,65.8,0.2082,-0.311,0.091,coin-toss
Gold,13,flat/flat/DN,tier4,B,5,53.3,60.0,23.1,88.2,0.271,0.319,0.227,coin-toss
Gold,13,flat/flat/DN,tier4,A,5,76.7,40.0,11.8,76.9,0.271,0.06,0.227,coin-toss
Gold,14,flat/flat/flat,tier1,B,1,93.3,100.0,20.7,100.0,0.2283,1.956,0.015,coin-toss
Gold,14,flat/flat/flat,tier1,A,1,93.3,100.0,20.7,100.0,0.2283,1.956,0.015,coin-toss
Gold,14,flat/flat/flat,tier2,B,21,84.5,42.9,24.5,63.5,0.3143,-0.172,0.313,coin-toss
Gold,14,flat/flat/flat,tier2,A,21,86.1,38.1,20.8,59.1,0.3143,-0.253,0.313,coin-toss
Gold,14,flat/flat/flat,tier3,B,12,96.3,66.7,39.1,86.2,0.257,1.873,0.179,coin-toss
Gold,14,flat/flat/flat,tier3,A,12,96.3,66.7,39.1,86.2,0.257,1.873,0.179,coin-toss
Gold,14,flat/flat/flat,tier4,B,10,41.8,40.0,16.8,68.7,0.305,-0.736,0.149,coin-toss
Gold,14,flat/flat/flat,tier4,A,10,72.3,60.0,31.3,83.2,0.305,0.343,0.149,coin-toss
Gold,15,flat/flat/UP,tier2,B,16,90.3,31.2,14.2,55.6,0.2854,-0.055,0.516,coin-toss
Gold,15,flat/flat/UP,tier2,A,16,90.3,31.2,14.2,55.6,0.2854,-0.055,0.516,coin-toss
Gold,15,flat/flat/UP,tier4,B,8,83.2,62.5,30.6,86.3,0.3241,0.518,0.258,coin-toss
Gold,15,flat/flat/UP,tier4,A,8,89.5,50.0,21.5,78.5,0.3241,0.012,0.258,coin-toss
Gold,18,flat/UP/UP,tier2,B,1,66.7,0.0,0.0,79.3,0.2279,-0.452,0.048,coin-toss
Gold,18,flat/UP/UP,tier2,A,1,66.7,0.0,0.0,79.3,0.2279,-0.452,0.048,coin-toss
Gold,18,flat/UP/UP,tier4,B,2,59.1,100.0,34.2,100.0,0.3919,4.663,0.095,coin-toss
Gold,18,flat/UP/UP,tier4,A,2,78.4,50.0,9.5,90.5,0.3919,1.163,0.095,coin-toss
Gold,22,UP/flat/DN,tier2,B,4,92.5,50.0,15.0,85.0,0.3489,0.121,0.211,coin-toss
Gold,22,UP/flat/DN,tier2,A,4,92.5,50.0,15.0,85.0,0.3489,0.121,0.211,coin-toss
Gold,26,UP/UP/flat,tier2,B,10,89.7,50.0,23.7,76.3,0.2982,0.76,0.141,coin-toss
Gold,26,UP/UP/flat,tier2,A,10,89.7,50.0,23.7,76.3,0.2982,0.76,0.141,coin-toss
Gold,26,UP/UP/flat,tier3,B,2,88.9,50.0,9.5,90.5,0.2411,0.132,0.028,coin-toss
Gold,26,UP/UP/flat,tier3,A,2,88.9,50.0,9.5,90.5,0.2411,0.132,0.028,coin-toss
Gold,26,UP/UP/flat,tier4,B,21,69.2,71.4,50.0,86.2,0.3246,2.008,0.296,PREDICTIVE
Gold,26,UP/UP/flat,tier4,A,21,74.7,71.4,50.0,86.2,0.3246,2.34,0.296,PREDICTIVE
Gold,27,UP/UP/UP,tier2,B,17,93.7,58.8,36.0,78.4,0.292,1.224,0.37,coin-toss
Gold,27,UP/UP/UP,tier2,A,17,93.7,58.8,36.0,78.4,0.292,1.224,0.37,coin-toss
Gold,27,UP/UP/UP,tier4,B,19,40.2,36.8,19.1,59.0,0.3431,-0.02,0.435,coin-toss
Gold,27,UP/UP/UP,tier4,A,19,75.6,57.9,36.3,76.9,0.3431,-0.217,0.435,coin-toss
